number,rank,title,recruitment,recruitment_bin,postedresults,resultsarrived_bin,conditions,intervention.merge,phase2,enrollment,gender,fund_source_grp,interventionmodel,randomized,purpose,yearreceived,yearstart,primarylength,intervention.model,phase,masking,testing,masking2,enrollment.log,enrollment.log.cut
3528,5383,the c-span coalition: colorectal cancer screening and patient navigation,Completed,4,0,0,Colorectal Cancer,behavioral,Others,7711,All,AllOther,1,0,4,2017,2017,191,1,Others,0,NA,0,8.95040315983296,"(7,13]"
681,712,electronic neurocognitive tools in screening for mental capability in patients undergoing liver surgery,Unknown status,8,0,0,Liver and Intrahepatic Bile Duct Disorder,procedure,Others,100,All,NIH&Combos,1,0,NA,2018,2018,501,1,Others,0,NA,0,4.605170185988092,"(4,5]"
231,234,imaging the duodenum using an optical frequency domain imaging ofdi capsule,Recruiting,2,0,0,Celiac Disease|Healthy,device,Others,24,All,AllOther,0,NA,4,2014,2013,2526,0,Others,1,NA,1,3.1780538303479458,"(3,4]"
520,541,multi-tracer pet prediction and assessment of response to gemcitabine in pancreatic cancer patients,Completed,4,1,1,Pancreatic Cancer,device,Others,9,All,AllOther,0,NA,2,2014,2014,853,0,Others,1,NA,1,2.1972245773362196,"(2,3]"
1000,1055,genetic education risk assessment and testing study,"Active, not recruiting",1,0,0,Candidates for Hereditary Pancreatic Cancer Testing,other,Others,1000,All,AllOther,1,0,4,2018,2019,1211,1,Others,0,NA,0,6.907755278982137,"(6,7]"
446,458,biomarkers of liver pathology in patients with presumed non-alcoholic steatohepatitis following bariatric surgery,"Active, not recruiting",1,1,1,"NASH - Nonalcoholic Steatohepatitis; NAFLD - Nonalcoholic Fatty Liver Disease",device,Others,14,All,AllOther,0,1,4,2017,2018,520,0,Others,1,NA,1,2.6390573296152584,"(2,3]"
2213,2708,"calcium: magnesium balance, microbiota, and necroptosis and inflammation","Active, not recruiting",1,0,0,Colorectal Cancer,other,Others,240,All,AllOther,2,0,1,2020,2017,2125,1,Others,3,NA,2,5.480638923341991,"(5,6]"
4077,7886,birth-cohort evaluation to advance screening and testing for hepatitis c,Completed,4,0,0,Hepatitis C|Chronic Hepatitis C,other,Others,29607,All,AllOther,3,0,4,2014,2013,393,3,Others,0,NA,0,10.295766098840117,"(7,13]"
1566,1707,a food additive removal diet for pediatric eosinophilic esophagitis,Recruiting,2,0,0,Eosinophilic Esophagitis,other,Others,72,All,AllOther,1,0,0,2018,2018,1145,1,Others,0,NA,0,4.276666119016055,"(4,5]"
2310,2906,mivideo - video visit summary for cancer patients,Completed,4,0,0,Colorectal Cancer,other,Others,58,All,AllOther,0,NA,4,2014,2014,90,0,Others,1,NA,1,4.060443010546419,"(4,5]"
3200,4443,lactated ringer's versus normal saline for acute pancreatitis,Unknown status,8,0,0,"Pancreatitis, Acute",other,Others,119,All,AllOther,1,0,0,2018,2018,525,1,Others,2,NA,2,4.77912349311153,"(4,5]"
3050,4100,contrast-enhanced ultrasound imaging in diagnosing liver cancer in patients with cirrhosis,Recruiting,2,0,0,Liver Cirrhosis,procedure,Others,640,All,IndustryNIHPartnership,0,NA,2,2017,2018,1259,0,Others,1,NA,1,6.461468176353717,"(6,7]"
1970,2318,impact of oral carbohydrate consumption prior to cesarean section,Completed,4,0,0,Dehydration,other,Others,134,Female,AllOther,2,0,4,2016,2016,728,1,Others,3,NA,2,4.897839799950911,"(4,5]"
1048,1103,evaluating the efficacy of cpap therapy for the treatment of fatty liver,Withdrawn,7,0,0,Non-alcoholic Fatty Liver Disease,device,Others,NA,All,NIH&Combos,1,0,0,2013,2019,0,1,Others,0,efficacy,0,NA,NA
1923,2243,a randomized controlled trial investigating if antibiotic use in the first 48 hours of life adversely impacts the preterm infant microbiome,Completed,4,1,1,"Premature Birth of Newborn|Enterocolitis, Necrotizing",drug or biologic,NA,27,All,AllOther,1,0,1,2015,2015,1431,1,NA,3,NA,2,3.295836866004329,"(3,4]"
631,658,stereotactic body radiation therapy or conventionally fractionated concurrent chemotherapy and radiation therapy preoperatively for resectable or borderline resectable pancreatic adenocarcinoma,Recruiting,2,0,0,Pancreatic Cancer,other,Others,102,All,AllOther,1,0,0,2018,2018,1136,1,Others,0,NA,0,4.624972813284271,"(4,5]"
3564,5495,brief intervention by community health workers for unhealthy drinking in latinos,"Active, not recruiting",1,0,0,Drinking Heavy|Drinking Behavior|Drinking Excessive,behavioral,Others,237,All,AllOther,1,0,0,2017,2018,986,1,Others,0,NA,0,5.4680601411351315,"(5,6]"
2550,3427,"safety, tolerability, and sustained weight loss of endoscopic sleeve gastroplasty with diet modification and exercise","Active, not recruiting",1,0,0,Obesity,procedure,Others,60,All,AllOther,1,0,0,2017,2017,2009,1,Others,0,safety,0,4.0943445622221,"(4,5]"
571,595,evaluating active esophageal cooling during cardiac ablation procedures,Recruiting,2,0,0,Atrial Fibrillation,device,Others,20,All,Industry&Combos,0,NA,1,2019,2019,592,0,Others,1,NA,1,2.995732273553991,"(2,3]"
1016,1071,"sucralose, stevia, gut microbiome and glucose metabolism",Completed,4,0,0,Impaired Glucose Tolerance,other,Others,40,All,AllOther,0,1,4,2016,2017,393,0,Others,1,NA,1,3.6888794541139363,"(3,4]"
2091,2495,a trial comparing transversus abdominis plane catheter versus epidural after esophagectomy,Unknown status,8,0,0,"Esophageal Cancer|Pain, Postoperative",procedure,Others,90,All,AllOther,NA,0,0,2018,2018,1096,NA,Others,0,NA,0,4.499809670330265,"(4,5]"
3138,4267,multi-center clinical study to evaluate the c2 cryoballoon focal ablation system,"Active, not recruiting",1,0,0,Barrett Esophagus,device,Others,150,All,Industry&Combos,0,NA,0,2015,2016,1887,0,Others,1,NA,1,5.0106352940962555,"(5,6]"
4051,7680,comparing brief alcohol interventions for hiv-hcv co-infected persons,"Active, not recruiting",1,0,0,HIV|Hepatitis C,behavioral,Others,300,All,AllOther,1,0,1,2014,2015,1978,1,Others,1,NA,1,5.703782474656201,"(5,6]"
897,941,effects of fermented vegetables on gut microflora and inflammation in women,"Active, not recruiting",1,0,0,Inflammation|Women's Health|Gastrointestinal Microbiome,other,Others,34,Female,AllOther,1,0,1,2018,2018,967,1,Others,2,NA,2,3.5263605246161616,"(3,4]"
3583,5583,cycling in preventing colorectal cancer in participants with lynch syndrome,"Active, not recruiting",1,0,0,High-Frequency Microsatellite Instability|Mismatch Repair Gene Mutation|Mutation-Negative Lynch Syndrome|Mutation-Positive Lynch Syndrome,device,Others,21,All,NIH&Combos,0,NA,1,2018,2018,1092,0,Others,1,NA,1,3.044522437723423,"(3,4]"
777,814,a study to assess the effect of y-90 therapy on non-target/background liver,Terminated,5,1,1,HCC|Liver Cancer,other,Others,20,All,AllOther,0,NA,2,2016,2017,697,0,Others,1,NA,1,2.995732273553991,"(2,3]"
186,187,investigation of linaclotide's effect on the bi-directional brain and gut axis in ibs-c patients,Completed,4,0,0,Irritable Bowel Syndrome With Constipation (IBS-C),drug or biologic,NA,39,All,Industry&Combos,1,0,4,2014,2014,1341,1,NA,2,NA,2,3.6635616461296463,"(3,4]"
1099,1163,hepatic encephalopathy: lactulose or polyethylene glycol (h.e.l.p.),Withdrawn,7,0,0,Hepatic Encephalopathy|HE|Cirrhosis|Altered Mental Status|AMS,drug or biologic,NA,NA,All,AllOther,1,0,0,2013,2013,365,1,NA,0,NA,0,NA,NA
1460,1572,"sacral nerve stimulation in treating low anterior resection syndrome or fecal incontinence in patients with locally advanced rectal cancer or other pelvic cancer, the restore study",Recruiting,2,0,0,Fecal Incontinence|Low Anterior Resection Syndrome|Malignant Anal Neoplasm|Malignant Bladder Neoplasm|Malignant Cervical Neoplasm|Malignant Ovarian Neoplasm|Malignant Pelvic Neoplasm|Malignant Prostate Neoplasm|Malignant Uterine Neoplasm|Malignant Vaginal Neoplasm|Malignant Vulvar Neoplasm|Rectal Adenocarcinoma|Stage III Rectal Cancer AJCC v8|Stage IIIA Rectal Cancer AJCC v8|Stage IIIB Rectal Cancer AJCC v8|Stage IIIC Rectal Cancer AJCC v8|Stage IV Rectal Cancer AJCC v8|Stage IVA Rectal Cancer AJCC v8|Stage IVB Rectal Cancer AJCC v8|Stage IVC Rectal Cancer AJCC v8,device,Others,60,All,NIH&Combos,0,NA,4,2019,2019,2302,0,Others,1,NA,1,4.0943445622221,"(4,5]"
268,272,mychart in patients with inflammatory bowel disease.,Completed,4,0,0,Inflammatory Bowel Diseases,behavioral,Others,128,All,AllOther,1,0,0,2017,2017,431,1,Others,0,NA,0,4.852030263919617,"(4,5]"
228,231,gastric emptying ultrasound research study,Completed,4,0,0,Gastric Emptying,procedure,Others,48,All,AllOther,1,0,4,2016,2016,365,1,Others,1,NA,1,3.871201010907891,"(3,4]"
1342,1434,splenic embolization for portal hypertension,Recruiting,2,0,0,Portal Hypertension,device,Others,30,All,AllOther,1,0,0,2018,2018,973,1,Others,0,NA,0,3.4011973816621555,"(3,4]"
1800,2033,nutrition intervention during chemotherapy,"Active, not recruiting",1,0,0,Cancer Patients Receiving Chemotherapy or Chemoradiotherapy,other,Others,31,All,AllOther,1,0,4,2013,2013,2740,1,Others,2,NA,2,3.4339872044851463,"(3,4]"
2446,3184,microgreen consumption for healthy aging,Completed,4,0,0,Aging|Menopause|Healthy,other,Others,26,All,AllOther,3,0,4,2020,2019,129,3,Others,1,NA,1,3.258096538021482,"(3,4]"
1179,1256,development of 'emma'--a pediatric ibd quiz,Completed,4,0,0,Ulcerative Colitis|Crohn's Disease|Inflammatory Bowel Disease,other,Others,116,All,AllOther,0,NA,4,2014,2014,1064,0,Others,1,NA,1,4.7535901911063645,"(4,5]"
3656,5808,gluten sensor device to promote gluten free diet adherence and quality of life in patients with celiac disease,Completed,4,0,0,Celiac Disease,other,Others,30,All,AllOther,1,0,0,2017,2018,302,1,Others,0,NA,0,3.4011973816621555,"(3,4]"
334,340,postprandial liver and spleen stiffness measurements in the noninvasive diagnosis of cirrhosis,Completed,4,0,0,Chronic Liver Disease,device,Others,22,All,AllOther,0,NA,2,2017,2017,242,0,Others,1,NA,1,3.091042453358316,"(3,4]"
140,140,the effect of probiotic intake on intestinal permeability in healthy adults,Completed,4,0,0,Intestinal Barrier Function,other,Others,39,All,Industry&Combos,3,0,4,2018,2018,236,3,Others,3,NA,2,3.6635616461296463,"(3,4]"
2417,3127,trial comparing pla to higrt (prove-hcc),Completed,4,0,0,Hepatocellular Carcinoma,procedure,Others,12,All,AllOther,1,0,4,2018,2018,351,1,Others,0,NA,0,2.4849066497880004,"(2,3]"
1440,1549,safety of endoscopic resection of large colorectal polyps: a randomized trial.,"Active, not recruiting",1,1,1,Colon Polyps,procedure,Others,1257,All,NA,1,0,0,2013,2013,1644,1,Others,0,safety,0,7.136483208590247,"(7,13]"
2789,3745,microbiome individuality and stability over time,Completed,4,0,0,Diet,other,Others,21,All,AllOther,0,NA,4,2021,2018,189,0,Others,1,NA,1,3.044522437723423,"(3,4]"
1363,1457,diet / gut microbiome interaction and influence on inflammatory disease in hiv patients,Recruiting,2,0,0,HIV,other,Others,98,All,AllOther,1,0,4,2015,2016,2101,1,Others,0,NA,0,4.584967478670572,"(4,5]"
2454,3197,continuous vs bolus nasogastric feeding in mechanically ventilated pediatric patients 2,Completed,4,0,0,Dietary Modification,other,Others,147,All,AllOther,1,0,0,2015,2015,1126,1,Others,0,NA,0,4.990432586778736,"(4,5]"
583,609,use of goggle balloon to improve cecal intubation during colonoscopy,Withdrawn,7,0,0,Redundant Colon,device,Others,NA,All,AllOther,1,0,0,2015,2014,1001,1,Others,1,NA,1,NA,NA
1579,1725,wells and enteric disease transmission trial (wet - trial),Recruiting,2,0,0,Gastrointestinal Infection|Respiratory Viral Infection,device,Others,30,All,AllOther,1,0,1,2020,2019,686,1,Others,3,NA,2,3.4011973816621555,"(3,4]"
1321,1411,laryngopharyngeal reflux before and after cricopharyngeal myotomy,Recruiting,2,0,0,Laryngopharyngeal Reflux|Zenker's Diverticulum,device,Others,30,All,AllOther,0,NA,2,2013,2013,3226,0,Others,1,NA,1,3.4011973816621555,"(3,4]"
1309,1398,influence of freeze dried strawberry consumption on gut microbiota and cardiovascular health.,Recruiting,2,0,0,Microbial Colonization|Cardiovascular Diseases|Obesity,other,Others,20,All,AllOther,3,0,4,2017,2017,1613,3,Others,3,NA,2,2.995732273553991,"(2,3]"
2276,2835,prospr project 1: identifying and tracking personalized crc screening regimens for patients in clinical settings,"Active, not recruiting",1,0,0,ColoRectal Cancer,other,Others,9865,All,AllOther,0,NA,4,2018,2013,2186,0,Others,1,NA,1,9.196748418456716,"(7,13]"
3850,7011,the impact of high-flow nasal cannula on swallow function,Completed,4,0,0,Swallowing Disorder|Respiratory Insufficiency,device,Others,19,All,AllOther,0,NA,4,2018,2018,527,0,Others,1,NA,1,2.9444389791664403,"(2,3]"
3602,5676,food and alcohol behavior study: meaningful enhancement,"Active, not recruiting",1,0,0,Binge Drinking|Folate Deficiency,other,Others,20,Female,AllOther,1,0,0,2019,2019,428,1,Others,1,NA,1,2.995732273553991,"(2,3]"
669,697,a trial of radiofrequency ablation for anal intraepithelial neoplasia using the halo ablation system,Completed,4,1,1,HIV-negative Subjects With Intra-anal Intraepithelial Neoplasia Containing High-Grade Squamous Intraepithelial Lesions,device,Others,22,All,Industry&Combos,0,NA,0,2013,2013,822,0,Others,1,NA,1,3.091042453358316,"(3,4]"
535,557,effects of beverages containing orange or apple pomace on digestive health in adults,Completed,4,0,0,Digestive Health,other,Others,90,All,Industry&Combos,3,0,4,2018,2018,319,3,Others,2,NA,2,4.499809670330265,"(4,5]"
2961,3970,vitora: clinical study to evaluate the effect of kb109 on the gut microbiome in subjects whose gastrointestinal tracts are colonized with multiple drug-resistant organisms,Terminated,5,0,0,"Vancomycin-Resistant Enterococcus, Extended-Spectrum Beta Lactamase-Producing Enterobacteriaceae, or Carbapenem-Resistant Enterobacteriaceae Colonized Subjects",other,Others,3,All,Industry&Combos,1,0,4,2019,2019,355,1,Others,0,NA,0,1.0986122886681098,"(1,2]"
2154,2592,functional dyspepsia hypnosis,Enrolling by invitation,3,0,0,Functional Dyspepsia,behavioral,Others,23,All,AllOther,0,NA,0,2019,2019,578,0,Others,1,NA,1,3.1354942159291497,"(3,4]"
3068,4132,preoperative biliary drainage in resectable pancreatic or periampullary cancer,Recruiting,2,0,0,Pancreatic Carcinoma,device,Others,294,All,Industry&Combos,1,0,0,2013,2013,2962,1,Others,0,NA,0,5.683579767338681,"(5,6]"
363,371,medication adherence in patients with inflammatory bowel disease (ibd),Completed,4,0,0,Inflammatory Bowel Disease|Crohn's Disease|Ulcerative Colitis,behavioral,Others,77,All,AllOther,0,1,4,2015,2015,519,0,Others,1,NA,1,4.343805421853684,"(4,5]"
4145,9032,"assessing long-term ctn 0049 outcomes, hcv prevalence and progression along the hcv care continuum among hiv/hcv co-infected substance users in the u.s.",Completed,4,0,0,Hepatitis C|HIV|AIDS|Substance Use,behavioral,Others,422,All,IndustryNIHPartnership,1,0,0,2015,2015,890,1,Others,0,NA,0,6.045005314036012,"(6,7]"
3640,5763,pilot: feasibility of intermittent enteral feeding in ventilated micu patients,Completed,4,0,0,Nutrition,other,Others,14,All,AllOther,NA,1,0,2019,2019,121,NA,Others,0,NA,0,2.6390573296152584,"(2,3]"
192,194,intraluminal endosonography for examination of the structural changes of the stomach in gastroparetic patients,Completed,4,0,0,Idiopathic Gastroparesis|Diabetic Gastroparesis,procedure,Others,11,All,AllOther,0,NA,2,2013,2013,549,0,Others,1,NA,1,2.3978952727983707,"(2,3]"
3062,4117,wp01 - normothermic liver preservation,Completed,4,0,0,Liver Transplantation,device,Others,267,All,Industry&Combos,1,0,0,2016,2016,1219,1,Others,0,NA,0,5.58724865840025,"(5,6]"
2134,2561,"educate, assess risk and overcoming barriers to colorectal screening among african americans",Recruiting,2,0,0,Colorectal Cancer,behavioral,Others,150,All,AllOther,0,NA,1,2018,2019,917,0,Others,1,NA,1,5.0106352940962555,"(5,6]"
719,753,comparing two types of diets on psychological and gastrointestinal symptoms,Completed,4,0,0,Irritable Bowel Syndrome,other,Others,40,All,AllOther,1,0,0,2017,2018,708,1,Others,4,NA,2,3.6888794541139363,"(3,4]"
3280,4629,multivitamin adherence following bariatric surgery,Completed,4,1,1,Obesity,behavioral,Others,24,All,AllOther,1,0,4,2014,2014,731,1,Others,1,NA,1,3.1780538303479458,"(3,4]"
3459,5251,small media interventions to increase colorectal cancer screening among chinese americans,Completed,4,0,0,Colorectal Cancer|Cancer Screening,behavioral,Others,1707,All,AllOther,1,0,4,2017,2017,441,1,Others,0,NA,0,7.442492722794441,"(7,13]"
529,550,application of a novel allergen-specific immune signature directed approach to dietary elimination therapy in patients with eosinophilic esophagitis (idiet),Completed,4,1,1,Eosinophilic Esophagitis,device,Others,24,All,NIH&Combos,0,NA,0,2016,2016,710,0,Others,1,NA,1,3.1780538303479458,"(3,4]"
4027,7611,nurse case management to improve hepatitis c care in hiv co-infection,Completed,4,1,1,"HIV|Hepatitis C, Chronic",behavioral,Others,68,All,AllOther,1,0,4,2016,2016,639,1,Others,1,NA,1,4.219507705176107,"(4,5]"
2027,2395,omegaven ® as parenteral nutrition,Unknown status,8,0,0,Cholestasis,drug or biologic,NA,25,All,AllOther,0,NA,0,2015,2013,1369,0,NA,1,NA,1,3.2188758248682006,"(3,4]"
2117,2532,a crohn's disease diet to reduce symptoms of crohn's disease,Withdrawn,7,0,0,Crohn's Disease,other,Others,NA,All,AllOther,1,0,0,2013,2013,365,1,Others,2,NA,2,NA,NA
792,829,compassionate use of omegaven in the treatment of parenteral nutrition induced hepatic injury,Completed,4,0,0,Liver Disease|Impaired Liver Function|Parenteral Nutrition Associated Liver Disease,drug or biologic,NA,15,All,AllOther,0,NA,4,2013,2013,2014,0,NA,1,NA,1,2.70805020110221,"(2,3]"
1876,2169,the small intestine bacterial overgrowth study pilot,Recruiting,2,0,0,Systemic Sclerosis|Small Intestinal Bacterial Overgrowth,other,Others,500,All,AllOther,1,0,2,2018,2019,776,1,Others,1,NA,1,6.214608098422191,"(6,7]"
3007,4034,the microbiome and resilience to sleep and circadian disruption,Recruiting,2,0,0,Sleep Deprivation|Circadian Dysregulation|Stress,behavioral,Others,50,All,AllOther,3,0,4,2018,2015,2019,3,Others,2,NA,2,3.912023005428146,"(3,4]"
376,385,health coaching as a tool for improving medication adherence in adult patients with inflammatory bowel disease,"Active, not recruiting",1,0,0,Inflammatory Bowel Diseases,behavioral,Others,43,All,Industry&Combos,3,0,4,2018,2019,1116,3,Others,0,NA,0,3.7612001156935624,"(3,4]"
187,189,"the ilet introduction study: a feasibility study of the ilet, a fully integrated bihormonal bionic pancreas",Terminated,5,1,1,Diabetes Mellitus Type 1,drug or biologic,NA,20,All,AllOther,3,0,0,2016,2016,791,3,NA,0,NA,0,2.995732273553991,"(2,3]"
596,622,genetic-specific effects of fructose on liver lipogenesis,Recruiting,2,0,0,"NAFLD|Non-Alcoholic Fatty Liver Disease",other,Others,48,All,NIH&Combos,1,1,4,2018,2019,1041,1,Others,0,NA,0,3.871201010907891,"(3,4]"
3506,5317,insertion technique in large volume paracentesis,Completed,4,0,0,Cirrhosis,procedure,Others,72,All,AllOther,1,0,0,2014,2013,335,1,Others,1,NA,1,4.276666119016055,"(4,5]"
1828,2082,tae and mwa combination therapy in early-stage hepatocellular carcinoma,Terminated,5,0,0,"Hepatocellular Carcinoma|Hepatoma|Liver Cancer, Adult|Liver Cell Carcinoma|Liver Cell Carcinoma, Adult",device,Others,12,All,AllOther,1,0,0,2016,2016,671,1,Others,0,NA,0,2.4849066497880004,"(2,3]"
1298,1385,myfortic in high meld liver transplantation,Withdrawn,7,0,0,High Model for End-Stage Liver Disease (MELD) Score,drug or biologic,NA,NA,All,AllOther,1,0,0,2013,2013,852,1,NA,0,NA,0,NA,NA
2612,3511,endoscopic surgery for bariatric revision after weight loss failure,Recruiting,2,0,0,Morbid Obesity|Weight Loss,device,Others,20,All,AllOther,0,NA,0,2013,2014,3256,0,Others,1,NA,1,2.995732273553991,"(2,3]"
2824,3786,clinical management with spm system and validation of the spm 5 hour cutoff in patients with symptoms of gastroparesis,Terminated,5,1,1,Gastroparesis,device,Others,167,All,Industry&Combos,0,NA,2,2013,2014,1155,0,Others,1,NA,1,5.117993812416755,"(5,6]"
576,600,determining risk factors for successful ppi weaning,Terminated,5,0,0,Gastroesophageal Reflux,behavioral,Others,5,All,AllOther,0,NA,1,2017,2016,760,0,Others,1,NA,1,1.6094379124341003,"(1,2]"
1216,1294,"biospecimen collection and testing for the prevalence of anal dysplasia and anal cancer in patients with cervical, vaginal and vulvar dysplasia and cancer",Recruiting,2,0,0,"Cervical Adenocarcinoma|Cervical Adenocarcinoma In Situ|Cervical Intraepithelial Neoplasia|Cervical Squamous Cell Carcinoma, Not Otherwise Specified|Cervical Squamous Intraepithelial Neoplasia|Early Invasive Cervical Adenocarcinoma|Early Invasive Cervical Squamous Cell Carcinoma|High Grade Cervical Squamous Intraepithelial Neoplasia|High Grade Vaginal Intraepithelial Neoplasia|Low Grade Vaginal Intraepithelial Neoplasia|Stage I Cervical Cancer AJCC v8|Stage I Vaginal Cancer AJCC v8|Stage I Vulvar Cancer AJCC v8|Stage IA Cervical Cancer AJCC v8|Stage IA Vaginal Cancer AJCC v8|Stage IA Vulvar Cancer AJCC v8|Stage IA1 Cervical Cancer AJCC v8|Stage IA2 Cervical Cancer AJCC v8|Stage IB Cervical Cancer AJCC v8|Stage IB Vaginal Cancer AJCC v8|Stage IB Vulvar Cancer AJCC v8|Stage IB1 Cervical Cancer AJCC v8|Stage IB2 Cervical Cancer AJCC v8|Stage II Cervical Cancer AJCC v8|Stage II Vaginal Cancer AJCC v8|Stage II Vulvar Cancer AJCC v8|Stage IIA Cervical Cancer AJCC v8|Stage IIA Vaginal Cancer AJCC v8|Stage IIA1 Cervical Cancer AJCC v8|Stage IIA2 Cervical Cancer AJCC v8|Stage IIB Cervical Cancer AJCC v8|Stage IIB Vaginal Cancer AJCC v8|Stage III Cervical Cancer AJCC v8|Stage III Vaginal Cancer AJCC v8|Stage III Vulvar Cancer AJCC v8|Stage IIIA Cervical Cancer AJCC v8|Stage IIIA Vulvar Cancer AJCC v8|Stage IIIB Cervical Cancer AJCC v8|Stage IIIB Vulvar Cancer AJCC v8|Stage IIIC Vulvar Cancer AJCC v8|Stage IV Cervical Cancer AJCC v8|Stage IV Vaginal Cancer AJCC v8|Stage IV Vulvar Cancer AJCC v8|Stage IVA Cervical Cancer AJCC v8|Stage IVA Vaginal Cancer AJCC v8|Stage IVA Vulvar Cancer AJCC v8|Stage IVB Cervical Cancer AJCC v8|Stage IVB Vaginal Cancer AJCC v8|Stage IVB Vulvar Cancer AJCC v8|Vaginal Adenocarcinoma|Vulvar Adenocarcinoma|Vulvar High Grade Squamous Intraepithelial Lesion|Vulvar Intraepithelial Neoplasia|Vulvar Squamous Cell Carcinoma|Vulvar Squamous Intraepithelial Lesion",procedure,Others,500,Female,NIH&Combos,0,NA,4,2014,2014,2926,0,Others,1,NA,1,6.214608098422191,"(6,7]"
2434,3162,social media listening in improving clinical trial recruitment in patients with cancer,Withdrawn,7,0,0,Breast Carcinoma|Colon Carcinoma|Kidney Carcinoma|Lymphoma|Non-Small Cell Lung Carcinoma|Prostate Carcinoma,other,Others,NA,All,NIH&Combos,0,NA,4,2018,2017,418,0,Others,1,NA,1,NA,NA
2132,2558,mobility and activity training (mat) to optimize outcomes for older adult abdominal surgery patients,Withdrawn,7,0,0,Gastrointestinal Malignancy,behavioral,Others,NA,All,AllOther,1,0,4,2013,2013,944,1,Others,0,NA,0,NA,NA
1612,1767,evaluation of jarro-dophilus eps ® probiotic formulations,Completed,4,0,0,Healthy,other,Others,75,All,Industry&Combos,1,0,4,2016,2016,31,1,Others,3,NA,2,4.31748811353631,"(4,5]"
1734,1932,self-monitoring and reminder texts to increase physical activity after cancer ii,Completed,4,0,0,Colorectal Cancer|Colon Cancer|Rectal Cancer,behavioral,Others,44,All,AllOther,1,0,4,2018,2018,899,1,Others,0,NA,0,3.784189633918261,"(3,4]"
946,994,eoe food desensitization,Recruiting,2,0,0,Eosinophilic Esophagitis,other,Others,5,All,AllOther,0,NA,4,2016,2018,1727,0,Others,1,NA,1,1.6094379124341003,"(1,2]"
4105,8177,digimeds to optimize adherence in patients with hepatitis c and increased risk for nonadherence,Unknown status,8,0,0,"Hepatitis C, Chronic|Nonadherence, Patient",device,Others,253,All,Industry&Combos,0,NA,0,2017,2017,648,0,Others,1,NA,1,5.53338948872752,"(5,6]"
2239,2760,hepatitis c alcohol reduction treatment,Completed,4,0,0,"Hepatitis C, Chronic; AUD",behavioral,Others,182,All,AllOther,1,0,4,2014,2014,1460,1,Others,0,NA,0,5.204006687076795,"(5,6]"
3016,4050,perianal operating scope feasibliity,Withdrawn,7,0,0,Transanal Endoscopic Surgery,device,Others,NA,All,AllOther,0,NA,4,2016,2017,365,0,Others,1,NA,1,NA,NA
1277,1364,efficacy of open label placebo in children with fgids,Unknown status,8,0,0,Functional Abdominal Pain|Functional Dyspepsia|Irritable Bowel Syndrome|Functional Gastrointestinal Disorders,drug or biologic,NA,80,All,AllOther,3,0,0,2015,2014,1614,3,NA,0,efficacy,0,4.382026634673881,"(4,5]"
2249,2777,diet intervention for crohn's disease patient,Recruiting,2,0,0,Crohn Disease,behavioral,Others,300,All,AllOther,1,1,4,2019,2019,1053,1,Others,0,NA,0,5.703782474656201,"(5,6]"
350,358,tolerance of an oral nutritional supplement(ons),Completed,4,0,0,Gastro-Intestinal Tolerance,other,Others,25,All,Industry&Combos,0,NA,NA,2013,2013,31,0,Others,1,NA,1,3.2188758248682006,"(3,4]"
2392,3073,gluten free diet in preventing graft versus host disease in patients undergoing donor stem cell transplant,Terminated,5,0,0,Graft Versus Host Disease|Hematopoietic Cell Transplantation Recipient,other,Others,7,All,NIH&Combos,0,NA,1,2017,2017,293,0,Others,1,NA,1,1.9459101490553132,"(1,2]"
858,900,mayo clinic ibd biobank,Enrolling by invitation,3,0,0,Inflammatory Bowel Diseases,procedure,Others,1000,All,AllOther,1,1,4,2018,2018,17197,1,Others,0,NA,0,6.907755278982137,"(6,7]"
2353,2991,educational-medical-behavioral treatment of fecal incontinence,Terminated,5,1,1,Fecal Incontinence,drug or biologic,NA,31,All,AllOther,1,0,0,2012,2013,789,1,NA,2,NA,2,3.4339872044851463,"(3,4]"
874,917,surrogate markers of portal pressure,Completed,4,0,0,Portal Hypertension|Cirrhosis,drug or biologic,NA,41,All,AllOther,0,1,2,2015,2014,1552,0,NA,1,NA,1,3.713572066704308,"(3,4]"
1166,1240,evaluation of low-dose irinotecan and cyberknife ® sbrt to treat colorectal cancer with limited liver metastasis,Withdrawn,7,0,0,Colorectal Cancer,drug or biologic,NA,NA,All,AllOther,0,NA,0,2013,2013,2557,0,NA,1,NA,1,NA,NA
2409,3108,infant fecal insult study,Completed,4,0,0,Dermatitis,other,Others,24,Female,Industry&Combos,0,NA,4,2016,2016,86,0,Others,1,NA,1,3.1780538303479458,"(3,4]"
355,363,use of adjustable gastric band in adolescents,Withdrawn,7,0,0,OBESITY,device,Others,NA,All,AllOther,0,NA,0,2013,2016,0,0,Others,1,NA,1,NA,NA
2945,3947,evaluation of pcls using three eus-fna needles,Completed,4,1,1,Pancreatic Cystic Lesions,device,Others,250,All,Industry&Combos,1,0,2,2012,2013,1610,1,Others,0,NA,0,5.521460917862246,"(5,6]"
1345,1437,online health assessment to support comprehensive care,Withdrawn,7,0,0,Chronic Pancreatitis,device,Others,NA,All,NIH&Combos,0,NA,4,2014,2014,761,0,Others,1,NA,1,NA,NA
